"PLATZ_ID","BEREICH","REGAL","FACH","EBENE","PLATZ_TYP","PLATZ_ART","KAPA","IST_LHM","FREI_LHM","ABC_KLASSE","ZUSTAND"
"031905600","03","19","056","00","P","K","1","1","0","C",""
"031902206","03","19","022","06","P","R","1","0","1","C",""
"032606802","03","26","068","02","P","R","1","1","0","A",""
"031901003","03","19","010","03","P","R","1","1","0","C",""
"030303100","03","03","031","00","P","K","1","2","0","C","150.0"
"032001105","03","20","011","05","P","R","1","1","0","B",""
"032001302","03","20","013","02","P","R","1","1","0","B","150.0"
"032002203","03","20","022","03","P","R","1","1","0","B","150.0"
"031904101","03","19","041","01","P","R","1","1","0","C",""
"034302000","03","43","020","00","P","K","1","0","1","B","150.0"
"032004305","03","20","043","05","P","R","1","1","0","B",""
"032100506","03","21","005","06","P","R","1","0","1","B",""
"032100804","03","21","008","04","P","R","1","0","1","B",""
"032101106","03","21","011","06","P","R","1","0","1","B",""
"032102004","03","21","020","04","P","R","1","0","1","B",""
"032102006","03","21","020","06","P","R","1","1","0","B",""
"032102706","03","21","027","06","P","R","1","0","1","B",""
"032102905","03","21","029","05","P","R","1","1","0","B",""
"032103303","03","21","033","03","P","R","1","1","0","B",""
"032104206","03","21","042","06","P","R","1","0","1","B",""
"032104401","03","21","044","01","P","R","1","1","0","B",""
"030702701","03","07","027","01","P","DK","1","0","1","B",""
"032104502","03","21","045","02","P","R","1","1","0","B",""
"032107002","03","21","070","02","P","R","1","1","0","B",""
"032107101","03","21","071","01","P","R","1","1","0","B",""
"031302401","03","13","024","01","P","R","1","1","0","C",""
"032201505","03","22","015","05","P","R","1","1","0","B",""
"031903100","03","19","031","00","P","K","1","1","0","C",""
"032203902","03","22","039","02","P","R","1","1","0","B",""
"032205302","03","22","053","02","P","R","1","1","0","B",""
"032004600","03","20","046","00","P","K","1","1","0","B","150.0"
"032206603","03","22","066","03","P","R","1","0","1","B",""
"034705000","03","47","050","00","P","K","1","1","0","A","150.0"
"034704800","03","47","048","00","P","K","1","1","0","A","150.0"
"032301102","03","23","011","02","P","R","1","1","0","B",""
"032302101","03","23","021","01","P","R","1","0","1","B",""
"030403305","03","04","033","05","P","R","1","0","1","C","150.0"
"030603106","03","06","031","06","P","R","1","0","1","B",""
"032302501","03","23","025","01","P","R","1","1","0","B",""
