PLATZ_ID,HALLE,REGAL,FACH,EBENE,ANZ_PICKS,CUMULATIVE_%,ABC_CALC,ABC_KLASSE,ARTIKELNR,ARTBEZ1
032005400,2018.0,20,54,0,2139.0,26.71463013442113,A,B,00839300ET0001,Dichtung Steuergehäuse
032007100,2023.0,20,71,0,2063.0,27.1536214120496,A,B,08644700ET0001,Entrussersatz
034604300,4614.0,46,43,0,2052.0,27.590271970311164,A,A,02903900ET0001,Zyl.-kopfschraubensatz
032007200,2024.0,20,72,0,2007.0,28.01734685843542,A,B,00952100ET0001,SCANIA - Ölkühlersatz
032006300,2021.0,20,63,0,1981.0,28.438889137147005,A,B,06553600ET0001,Entrussersatz
034604200,4614.0,46,42,0,1973.0,28.858729074500843,A,A,,
032004100,2013.0,20,41,0,1915.0,29.266227037011028,A,B,01664560ET0001,DEUTZ Dichtung Steuergehäuse
034604400,4615.0,46,44,0,1879.0,29.666064463411363,A,A,04584220ET0001,Dirko HT oximic schwarz 20 ml
034705100,4717.0,47,51,0,1861.0,30.062071621756775,A,A,09115810ET0012,Dichtmasse Curil T2
032007000,2023.0,20,70,0,1857.0,30.45722760942331,A,B,04455610ET0001,Dichtung Ventildeckel
032006400,2021.0,20,64,0,1845.0,30.84983008505323,A,B,03186100ET0001,BMW Zylinderkopfhaubensatz
034704700,4716.0,47,47,0,1785.0,31.229665000500063,A,A,0B509500ET0001,LiqRep Reparaturset
034606400,4621.0,46,64,0,1741.0,31.600137038479296,A,B,04584220ET0001,Dirko HT oximic schwarz 20 ml
034704900,4716.0,47,49,0,1702.0,31.96231016233953,A,A,0B541000ET0009,LiqRep Metal_2
034705500,4718.0,47,55,0,1691.0,32.32214256683286,A,A,04711810ET0012,Dichtmassen/Curil T2 ProfiPress
034705000,4717.0,47,50,0,1682.0,32.68005983729873,A,A,01248100ET0001,Zyl.-kopfschraubensatz
034607200,4624.0,46,72,0,1645.0,33.03010377898502,A,B,06486610ET0012,Dirko HT oximic grau 70 ml BR
034607300,4624.0,46,73,0,1618.0,33.37440231858893,A,B,03521290ET0001,Entrussersatz
034704800,4716.0,47,48,0,1598.0,33.71444500479848,A,A,09540000ET0006,"EL-Loc 43, blau 50ml"
034705200,4717.0,47,52,0,1592.0,34.053210934989714,A,A,0B509500ET0001,LiqRep Reparaturset
034604100,4614.0,46,41,0,1576.0,34.38857218246546,A,A,,
034606300,4621.0,46,63,0,1531.0,34.71435775980389,A,B,04584220ET0001,Dirko HT oximic schwarz 20 ml
034607100,4624.0,46,71,0,1455.0,35.02397109424374,A,B,02595600ET0001,Zyl.-kopfschraubensatz
034606200,4621.0,46,62,0,1444.0,35.3312437093167,A,B,01957200ET0001,Entrussersatz
034606700,4622.0,46,67,0,1414.0,35.63213254429811,A,B,02599510ET0001,SCANI Dichtung Ölwanne
034704500,4715.0,47,45,0,1406.0,35.93131903792178,A,A,0B509500ET0001,LiqRep Reparaturset
034704400,4715.0,47,44,0,1381.0,36.2251857148025,A,A,0B541000ET0009,LiqRep Metal_2
034704600,4715.0,47,46,0,1380.0,36.51883959901349,A,A,0B542500ET0009,LiqRep Plastic_2
034607000,4623.0,46,70,0,1356.0,36.80738645915125,A,B,02528690ET0006,Dichtmassen/Curil T2 500 ml
034606800,4623.0,46,68,0,1311.0,37.0863576491517,A,B,0B509500ET0001,LiqRep Reparaturset
034705300,4718.0,47,53,0,1281.0,37.3589450590606,A,A,,
034704300,4714.0,47,43,0,1277.0,37.63068129829064,A,A,,
034606900,4623.0,46,69,0,1268.0,37.9005024034932,A,B,00065530ET0012,Dirko HT oximic schwarz 70 ml
034606500,4622.0,46,65,0,1196.0,38.15500243647607,A,B,02528690ET0006,Dichtmassen/Curil T2 500 ml
034705400,4718.0,47,54,0,1179.0,38.40588499407372,A,A,04711810ET0012,Dichtmassen/Curil T2 ProfiPress
034606600,4622.0,46,66,0,1174.0,38.65570358832279,A,B,07006210ET0012,Dirko HT oximic schwarz 70 ml BR
034704200,4714.0,47,42,0,1172.0,38.90509659723242,A,A,,
034706100,4720.0,47,61,0,1099.0,39.13895574125262,A,B,04711810ET0012,Dichtmassen/Curil T2 ProfiPress
034704100,4714.0,47,41,0,1093.0,39.371538129254525,A,A,,
034705900,4720.0,47,59,0,1085.0,39.60241817589868,A,B,04711810ET0012,Dichtmassen/Curil T2 ProfiPress
034705800,4719.0,47,58,0,1045.0,39.824786515754106,A,B,09540200ET0006,"EL-Fil 77, gelb 50ml"
034705600,4719.0,47,56,0,1022.0,40.042260624206016,A,B,0B509500ET0001,LiqRep Reparaturset
034706500,4722.0,47,65,0,1012.0,40.25760680596075,A,B,0B509500ET0001,LiqRep Reparaturset
034705700,4719.0,47,57,0,996.0,40.46954830499999,A,B,0B542500ET0009,LiqRep Plastic_2
032002000,2006.0,20,20,0,977.0,40.67744674331459,A,B,,
034706200,4721.0,47,62,0,971.0,40.88406842561088,A,B,04584220ET0001,Dirko HT oximic schwarz 20 ml
032001700,2005.0,20,17,0,955.0,41.08728542519167,A,B,,
030302100,307.0,03,21,0,935.0,41.28624657137811,A,C,,
030300800,303.0,03,8,0,927.0,41.4835053762068,A,C,000000000000153398,"SRS-GwStift35 Egr M10 2"" vz"
032002100,2007.0,20,21,0,919.0,41.67906183967774,A,B,,
034504100,4514.0,45,41,0,911.0,41.872915961790945,A,A,,
034504800,4516.0,45,48,0,904.0,42.06528053521612,A,A,,
034706800,4723.0,47,68,0,879.0,42.252325291898345,A,B,01049300ET0001,Zyl.-kopfschraubensatz
030302700,309.0,03,27,0,870.0,42.4374549145531,A,C,000000000000130662,"SchibSchlit LK2,3kN M8/M10 vz"
030402600,409.0,04,26,0,870.0,42.622584537207864,A,C,000000000000156771,"SchiK MPR 480 41/41/2,0 vz"
034505000,4517.0,45,50,0,867.0,42.80707578185346,A,A,,
034506900,4523.0,45,69,0,867.0,42.99156702649907,A,B,,
030301100,304.0,03,11,0,863.0,43.1752071004658,A,C,000000000000127214,"USchb 8,5x36x2 vz"
032002400,2008.0,20,24,0,858.0,43.35778321108394,A,B,,
030301500,305.0,03,15,0,856.0,43.53993373636265,A,C,000000000000149068,Stahldübel M10x30 mBund vz
030302200,307.0,03,22,0,839.0,43.71846678625615,A,C,000000000000162175,HochleistungsA BZ M12x110 KlSt15/35 vz
030200500,202.0,02,5,0,839.0,43.89699983614964,A,C,000000000000176056,TragprofilVbd-Set MPT 500 fQ100 fvz
034505400,4518.0,45,54,0,834.0,44.07446892269455,A,A,,
034504600,4515.0,45,46,0,814.0,44.2476821558451,A,A,,
034706000,4720.0,47,60,0,810.0,44.42004421831677,A,B,04600600ET0001,Entrussersatz
034507100,4524.0,45,71,0,802.0,44.59070393943069,A,B,,
030302300,308.0,03,23,0,795.0,44.7598741118566,A,C,000000000000116773,HohlPl-Deckenanker M8 vz
034504200,4514.0,45,42,0,794.0,44.928831491612776,A,A,,
034504500,4515.0,45,45,0,788.0,45.09651211535065,A,A,,
034707300,4724.0,47,73,0,788.0,45.26419273908852,A,B,06486610ET0012,Dirko HT oximic grau 70 ml BR
034706300,4721.0,47,63,0,783.0,45.43080939947781,A,B,09540200ET0006,"EL-Fil 77, gelb 50ml"
030301200,304.0,03,12,0,780.0,45.59678768185794,A,C,,
030303000,310.0,03,30,0,779.0,45.76255317156834,A,C,000000000000156816,StlFlansch quer 38/40-41/41 vz
034706600,4722.0,47,66,0,773.0,45.927041905260445,A,B,08751830ET0001,MB Dichtung Ölwanne
034706700,4722.0,47,67,0,773.0,46.09153063895255,A,B,07644700ET0001,Entrussersatz
034504400,4515.0,45,44,0,766.0,46.254529823956624,A,A,,
034502900,4510.0,45,29,0,764.0,46.41710342362126,A,A,,
034504700,4507.0,45,47,0,761.0,46.579038645276746,A,A,,
034506200,4521.0,45,62,0,754.0,46.73948431824421,A,B,,
032002500,2008.0,20,25,0,753.0,46.89971719854194,A,B,,
032000700,2002.0,20,7,0,750.0,47.059311700830534,A,B,,
030303400,311.0,03,34,0,741.0,47.21699106909165,A,C,,
034504900,4516.0,45,49,0,741.0,47.374670437352776,A,A,,
034502600,4509.0,45,26,0,740.0,47.532137012944176,A,A,,
030403400,411.0,04,34,0,739.0,47.68939079586587,A,C,,
030402200,407.0,04,22,0,733.0,47.84536782276924,A,C,000000000000165818,Stützst MPR S+ 900 41/41-124 vz
034707000,4723.0,47,70,0,728.0,48.00028088632403,A,B,00361640ET0012,Dirko HT oximic grau 70 ml
030400800,403.0,04,8,0,725.0,48.154555571869665,A,C,,
034504300,4514.0,45,43,0,725.0,48.308830257415295,A,A,,
030400500,402.0,04,5,0,722.0,48.462466564951775,A,C,000000000000156722,SchiK MPC 1040 38/40 vz
030301800,306.0,03,18,0,722.0,48.61610287248825,A,C,000000000000130208,Trapezblechzange GrL
030401000,403.0,04,10,0,719.0,48.76910080201557,A,C,,
030301700,306.0,03,17,0,718.0,48.921885938873174,A,C,,
034506500,4522.0,45,65,0,714.0,49.07381990505191,A,B,,
030300900,303.0,03,9,0,714.0,49.225753871230644,A,C,,
032001900,2006.0,20,19,0,712.0,49.37726225206994,A,B,,
034706400,4721.0,47,64,0,711.0,49.528557840239515,A,B,C510288,Broschüre Zylinderkopfschrauben EN
034707100,4724.0,47,71,0,706.0,49.67878946506051,A,B,,
034706900,4723.0,47,69,0,705.0,49.82880829721178,A,B,05648800ET0001,Entrussersatz
032001500,2005.0,20,15,0,704.0,49.978614336693326,A,B,,
030402000,407.0,04,20,0,704.0,50.12842037617489,A,C,000000000000118808,MonWinkel 90° 38/24-40/120 vz
030503100,510.0,05,31,0,702.0,50.277800830317,A,C,,
034506600,4522.0,45,66,0,702.0,50.42718128445911,A,B,,
034503400,4511.0,45,34,0,701.0,50.576348945931514,A,A,,
030402300,408.0,04,23,0,685.0,50.72211192468842,A,C,,
030400900,403.0,04,9,0,683.0,50.8674493181059,A,C,,
030503400,511.0,05,34,0,681.0,51.012361126183926,A,C,,
030300500,302.0,03,5,0,679.0,51.15684734892253,A,C,000000000000113467,GwStange M10x1000 G4.8 vz DIN976
030401600,405.0,04,16,0,678.0,51.301120778991404,A,C,000000000000115175,HamKBef MPC M8x50 27/18 vz
030302500,308.0,03,25,0,676.0,51.444968623720854,A,C,,
034505200,4517.0,45,52,0,674.0,51.588390883110854,A,A,,
032001000,2003.0,20,10,0,673.0,51.731600349831155,A,B,,
030402700,409.0,04,27,0,672.0,51.87459702388172,A,C,,
030503200,511.0,05,32,0,672.0,52.0175936979323,A,C,,
034506700,4522.0,45,67,0,671.0,52.16037757931314,A,B,,
030301600,305.0,03,16,0,669.0,52.302735875354564,A,C,,
030301400,305.0,03,14,0,666.0,52.44445579338684,A,C,,
034507200,4524.0,45,72,0,666.0,52.586175711419095,A,B,,
032000500,2001.0,20,5,0,661.0,52.72683166610277,A,B,,
030502500,508.0,05,25,0,661.0,52.867487620786434,A,C,,
030401900,406.0,04,19,0,661.0,53.008143575470115,A,C,,
034505300,4518.0,45,53,0,660.0,53.148586737484074,A,A,,
030303100,310.0,03,31,0,660.0,53.28902989949802,A,C,000000000000130252,TrKlammer M10-IGw vz
030401500,405.0,04,15,0,659.0,53.42926026884226,A,C,000000000000141487,OptJ M8 32-35 vz
032002300,2007.0,20,23,0,654.0,53.56842667483791,A,B,,
030300600,302.0,03,6,0,654.0,53.70759308083355,A,C,,
030502600,509.0,05,26,0,653.0,53.84654669415948,A,C,000000000000162742,"BügelS Eg-rundum 133,0 40x4 LG13 vz"
030302400,308.0,03,24,0,649.0,53.98464913680654,A,C,000000000000162171,HochleistungsA BZ M10x90 KlSt10/30 vz
030302600,309.0,03,26,0,649.0,54.122751579453585,A,C,000000000000118040,SchibMu M8 38/24-40/120 vz
034505500,4518.0,45,55,0,646.0,54.26021564409149,A,A,,
034506300,4521.0,45,63,0,641.0,54.39661574538081,A,B,,
030501500,505.0,05,15,0,640.0,54.532803054000404,A,C,000000000000166649,"BetonSchr+ 6KtK IGwAnker 7,5x40 M8/M10vz"
030500500,502.0,05,5,0,639.0,54.668777569950265,A,C,000000000000151095,"TrKralle MPR M10 41/21, 41/41, 41/42 vz"
030301900,306.0,03,19,0,637.0,54.804326500560705,A,C,,
030501000,503.0,05,10,0,637.0,54.939875431171146,A,C,,
034503500,4512.0,45,35,0,636.0,55.07521156911187,A,A,,
032001800,2006.0,20,18,0,636.0,55.21054770705259,A,B,,
034502000,4507.0,45,20,0,636.0,55.3458838449933,A,A,,
030401800,406.0,04,18,0,630.0,55.479943226915715,A,C,,
030302000,307.0,03,20,0,629.0,55.61378981616841,A,C,000000000000118808,MonWinkel 90° 38/24-40/120 vz
032001100,2003.0,20,11,0,628.0,55.74742361275139,A,B,,
030403100,410.0,04,31,0,626.0,55.88063182399493,A,C,000000000000113538,KonSet 38/40 oSD MPC 480 vz
030501400,505.0,05,14,0,625.0,56.01362724256875,A,C,,
034505700,4519.0,45,57,0,624.0,56.146409868472844,A,B,,
030202500,208.0,02,25,0,623.0,56.27897970170723,A,C,,
030401700,406.0,04,17,0,622.0,56.4113367422719,A,C,000000000000151198,Halteklammer MPR M10 41/41 vz
034503300,4511.0,45,33,0,621.0,56.54348099016685,A,A,,
034501400,4505.0,45,14,0,620.0,56.675412445392084,A,A,,
030402500,408.0,04,25,0,616.0,56.80649272993844,A,C,,
034707200,4724.0,47,72,0,616.0,56.9375730144848,A,B,,
030500800,503.0,05,8,0,615.0,57.06844050636144,A,C,000000000000111328,"IsoS Typ175EX 219,0 Iso60/100 vz"
032001400,2004.0,20,14,0,613.0,57.19888241289864,A,B,,
034506000,4520.0,45,60,0,612.0,57.32911152676613,A,B,,
034505600,4519.0,45,56,0,612.0,57.45934064063361,A,B,,
030503000,510.0,05,30,0,611.0,57.589356961831385,A,C,,
034503600,4512.0,45,36,0,611.0,57.71937328302915,A,A,,
034505800,4519.0,45,58,0,608.0,57.84875122621776,A,B,,
034505100,4517.0,45,51,0,607.0,57.97791637673665,A,A,,
030301000,303.0,03,10,0,604.0,58.10644314924639,A,C,,
030301300,304.0,03,13,0,603.0,58.23475712908641,A,C,,
034506400,4521.0,45,64,0,602.0,58.36285831625672,A,B,,
034502800,4509.0,45,28,0,599.0,58.49032112541788,A,A,,
034507000,4523.0,45,70,0,595.0,58.61693276390015,A,B,,
030303200,311.0,03,32,0,593.0,58.743118817043,A,C,,
030501200,504.0,05,12,0,593.0,58.869304870185836,A,C,,
030500700,502.0,05,7,0,589.0,58.9946397526498,A,C,,
030202400,208.0,02,24,0,588.0,59.11976184244405,A,C,000000000000175964,Big Foot 330
030300901,303.0,03,9,1,587.0,59.24467113956858,A,C,,
030400600,402.0,04,6,0,583.0,59.36872926601424,A,C,,
034500600,4502.0,45,6,0,579.0,59.491936221781025,A,A,,
034500800,4503.0,45,8,0,577.0,59.614717592208386,A,A,,
034501000,4503.0,45,10,0,575.0,59.7370733772963,A,A,,
032001600,2005.0,20,16,0,574.0,59.859216369714495,A,B,,
034507300,4524.0,45,73,0,571.0,59.980720984123536,A,B,,
034506100,4520.0,45,61,0,568.0,60.10158722052342,A,B,,
030502200,507.0,05,22,0,567.0,60.222240664253604,A,C,,
